Region,Total Households,Mean Income,Occupation Score,Education Score
Ang Mo Kio,60220,7379.599801,5.494773811,5.805064342
Bedok,97551,8634.029892,5.254308805,5.357294363
Bishan,29445,10406.04517,5.304540728,5.495783216
Bukit Batok,54297,8805.864044,5.315599311,5.533794981
Bukit Merah,59700,7684.128978,5.773423148,6.102737147
Bukit Panjang,43580,9045.353373,4.819572875,5.179628204
Bukit Timah,24612,13073.75467,5.467310916,5.862278813
Choa Chu Kang,58024,9569.428168,4.756533356,5.105219111
Clementi,33609,8941.47401,5.243860394,5.40444433
Downtown Core,1547,13031.99741,6.458909514,6.922479965
Geylang,42060,7710.158107,5.604759241,5.633133301
Hougang,75109,8814.719275,5.179825967,5.295325779
Jurong East,27213,7837.761364,5.458045489,5.764493102
Jurong West,83879,8553.636786,4.976033624,5.226108709
Kallang,40832,7684.297855,5.726600284,5.91628377
Marine Parade,17069,9914.699162,5.191922354,5.277491006
Novena,18281,10210.84733,5.840742481,6.288309323
Outram,8053,6385.787905,5.838356164,6.054580491
Pasir Ris,44799,10719.69798,5.165382873,5.47901141
Punggol,56166,9661.240786,4.725879265,5.347593583
Queenstown,37053,8260.518716,6.215395615,6.714756188
Sembawang,33049,8881.153741,4.89471781,4.963040446
Sengkang,79376,9641.469084,5.031794052,5.490208357
Serangoon,38086,10187.87087,5.450539147,5.578034381
Tampines,83681,8976.019049,5.671115711,6.006805226
Tanglin,7938,13692.14538,5.586807343,6.157468915
Toa Payoh,46880,7655.924701,5.598370133,5.859699715
Woodlands,78839,8211.630665,5.152759949,5.415827568
Yishun,75403,7803.688182,5.199799577,5.453923532
